pop_id,role,current_street,current_city,current_state,current_zip,permanent_street,permanent_city,permanent_state,permanent_zip,permanent_region
POP_S_2244793,Student,6002 6th St,Eureka,CA,95501,3992 Canyon Blvd,Phoenix,AZ,85004,OutOfState
POP_S_7940193,Student,3534 Broadway St,Eureka,CA,95501,8466 Pine Dr,Glendale,CA,91203,LA
POP_S_5468255,Student,215 Taylor Way,Blue Lake,CA,95525,5143 Maple Rd,Reno,NV,89501,OutOfState
POP_S_9052375,Student,9007 11th St,Arcata,CA,0,1293 Canyon Dr,San Jose,CA,0,BayArea
POP_S_8928336,Student,1257 Broadway St,Eureka,CA,95501,691 Meadow Blvd,Los Angeles,CA,90026,LA
POP_S_7451474,Student,8485 Hiller Rd,Mckinleyville,CA,95519,1947 Maple Pl,Escondido,CA,92025,SanDiego
POP_S_6533000,Student,2555 South Rail St,Blue Lake,CA,99999,8473 Sunset St,Santa Monica,CA,90401,LA
POP_S_1181699,Student,9250 Alliance Rd,Arcata,CA,95521,3903 Oak Pl,Boise,ID,83702,OutOfState
POP_S_7926169,Student,7059 Main St,Trinidad,CA,95570,6487 Sunset Pl,Escondido,CA,92025,SanDiego
POP_S_7993182,Student,1611 Harris St,Eureka,CA,95501,2634 Elm Blvd,Austin,TX,78701,OutOfState
POP_S_6222257,Student,6998 11th St,Arcata,CA,95521,4583 Cedar Rd,Phoenix,AZ,85004,OutOfState
POP_S_7366358,Student,2208 Baldwin St,Arcata,CA,95521,9805 Meadow Blvd,Fremont,CA,94536,BayArea
POP_S_9246969,Student,163 K St,Eureka,CA,95501,1338 Lake Dr,Pasadena,CA,91101,LA
POP_S_4689429,Student,9252 Spears Rd,Arcata,CA,95521,8749 Lake Ln,Santa Monica,CA,90401,LA
POP_S_4370927,Student,9999 Nonexistent Ln,No Answer,No Answer,99999,8154 Ridge St,Eureka,CA,95501,NorCal
POP_S_3505117,Student,4641 Baldwin St,Arcata,CA,95521,7623 Birch Rd,Chico,CA,95926,NorCal
POP_S_8159642,Student,7778 LK Wood Blvd,Arcata,CA,95521,1538 Canyon Rd,Daly City,CA,94015,BayArea
POP_S_8539577,Student,9141 H St,Arcata,CA,95521,7924 Elm Blvd,Chico,CA,95926,NorCal
POP_S_2520690,Student,3077 Samoa Blvd,Arcata,CA,95521,7162 Sunset Blvd,Brooklyn,NY,11211,OutOfState
POP_S_4081538,Student,5674 5th st,Eureka,CA,0,3275 Pine Dr,Berkeley,CA,94704,BayArea
POP_S_5648819,Student,9297 11th St,Arcata,CA,95521,3598 Spruce Blvd,Reno,NV,89501,OutOfState
POP_S_2109183,Student,1097 14th St,Arcata,CA,0,3683 Willow Ave,Boise,ID,83702,OutOfState
POP_S_3757264,Student,No Answer,No Answer,No Answer,99999,3446 Maple Way,La Mesa,CA,91942,SanDiego
POP_S_8451223,Student,6574 Broadway St,Eureka,CA,95501,2836 Cedar St,Fremont,CA,94536,BayArea
POP_S_4066171,Student,4586 Spears Rd,Arcata,CA,95521,4765 Oak Blvd,Chula Vista,CA,91910,SanDiego
POP_S_3881924,Student,5615 Alliance Rd,Arcata,CA,95521,9334 Vista Pl,Santa Rosa,CA,95401,NorCal
POP_S_9058700,Student,9999 Nonexistent Ln,No Answer,No Answer,99999,8881 Spruce St,Santa Monica,CA,90401,LA
POP_S_7781220,Student,9026 Wabash Ave,Eureka,CA,95501,3684 Cedar St,Eureka,CA,95501,NorCal
POP_S_8811547,Student,6339 Bates Rd,Mckinleyville,CA,95519,3372 Pine Way,Brooklyn,NY,11211,OutOfState
POP_S_7119154,Student,8431 H St,Arcata,CA,95521,9317 Elm Pl,Brooklyn,NY,11211,OutOfState
POP_S_4344141,Student,8259 Bates Rd,Mckinleyville,CA,95519,9025 Sunset Rd,Glendale,CA,91203,LA
POP_S_2930270,Student,764 Wabash Ave,Eureka,CA,95501,6202 Maple Ave,Austin,TX,78701,OutOfState
POP_S_8636287,Student,No Answer,Mckinleyville,CA,0,6491 Sunset Ln,Oceanside,CA,92054,SanDiego
POP_S_1792822,Student,7940 School Rd,Mckinleyville,CA,95519,1568 Oak Ln,Seattle,WA,98101,OutOfState
POP_S_5662454,Student,1636 Union St,Arcata,CA,95521,2833 Sunset Ln,Glendale,CA,91203,LA
POP_S_6634305,Student,9401 heartwood dr,Mckinleyville,CA,95519,1944 Elm St,Portland,OR,97205,OutOfState
POP_S_6011988,Student,7550 Samoa Blvd,Arcata,CA,95521,507 Spruce Dr,Anaheim,CA,92801,LA
POP_S_4191680,Student,4869 5th St,Eureka,CA,95501,6298 Hill Way,Anaheim,CA,92801,LA
POP_S_5390476,Student,3721 6th St,Eureka,CA,95501,2941 Spruce Ave,Austin,TX,78701,OutOfState
POP_S_2105801,Student,4372 LK Wood Blvd,Arcata,No Answer,95521,6928 Spruce Ave,Seattle,WA,98101,OutOfState
POP_S_4412381,Student,9928 Baldwin St,Arcata,CA,95521,6517 Hill Rd,Daly City,CA,94015,BayArea
POP_S_4158783,Student,8421 Janis Ct,Arcata,CA,95521,8071 Hill Rd,Brooklyn,NY,11211,OutOfState
POP_S_9926967,Student,4098 11th St,Arcata,CA,95521,3902 Meadow Ave,Glendale,CA,91203,LA
POP_S_2618167,Student,9043 G St,Arcata,NV,95521,6170 Lake Dr,Anaheim,CA,92801,LA
POP_S_5749533,Student,2737 Baldwin St,Arcata,CA,95521,7683 Elm Ave,Oceanside,CA,92054,SanDiego
POP_S_9565542,Student,7120 LK Wood Blvd,Arcata,No Answer,95521,5854 Birch Dr,Santa Monica,CA,90401,LA
POP_S_5509523,Student,7588 Hatchery Rd,Blue Lake,CA,95525,4880 Pine Ln,San Diego,CA,92103,SanDiego
POP_S_5564166,Student,9999 Nonexistent Ln,No Answer,No Answer,99999,2808 Pine Blvd,Sacramento,CA,95814,NorCal
POP_S_3021758,Student,767 Parker Creek Rd,Trinidad,CA,95570,7752 Oak Dr,Glendale,CA,91203,LA
POP_S_3086291,Student,7213 I St,Eureka,CA,95501,6066 Ridge St,Oakland,CA,94612,BayArea
POP_S_3195993,Student,6982 Baldwin St,Arcata,CA,95521,9873 Maple Ave,Daly City,CA,94015,BayArea
POP_S_1521096,Student,1914 Winchester Ave,Mckinleyville,CA,95519,8357 Pine Ln,Pasadena,CA,91101,LA
POP_S_1698008,Student,4351 h st,Arcata,CA,95521,2593 Birch Pl,Glendale,CA,91203,LA
POP_S_4847060,Student,7145 H St,Eureka,CA,95501,2996 Ridge Way,Eureka,CA,95501,NorCal
POP_S_3360046,Student,2918 11th St,Arcata,NV,0,3138 Lake Pl,San Jose,CA,95112,BayArea
POP_S_2082109,Student,6963 Samoa Blvd,Arcata,CA,95521,6835 Pine Way,Austin,TX,78701,OutOfState
POP_S_7731914,Student,3103 5th st,Eureka,CA,95501,9333 Birch Ave,Berkeley,CA,94704,BayArea
POP_S_2100767,Student,7420 H St,No Answer,CA,0,287 Birch St,Chula Vista,CA,91910,SanDiego
POP_S_8253683,Student,9159 winchester ave,No Answer,CA,95519,6293 Cedar St,Portland,OR,97205,OutOfState
POP_S_4242253,Student,8225 11th St,Arcata,CA,95521,428 Maple St,Portland,OR,97205,OutOfState
POP_S_3672167,Student,5647 11th St,Arcata,CA,95521,7422 Lake Dr,Pasadena,CA,91101,LA
POP_S_4855672,Student,5286 alliance rd,Arcata,CA,95521,5095 Spruce Pl,Santa Rosa,CA,95401,NorCal
POP_S_5586389,Student,9999 Nonexistent Ln,No Answer,No Answer,99999,3228 Hill Way,Glendale,CA,91203,LA
POP_S_4579924,Student,9999 Nonexistent Ln,No Answer,No Answer,99999,482 Ridge Pl,Fremont,CA,94536,BayArea
POP_S_7513723,Student,2360 14th St,Arcata,CA,95521,3499 Sunset Ln,Glendale,CA,91203,LA
POP_S_2610289,Student,1291 Myrtle Ave,Eureka,CA,95501,2862 Spruce St,Chula Vista,CA,91910,SanDiego
POP_S_6436394,Student,3611 Parker Creek Rd,Trinidad,CA,95570,2965 Canyon St,Daly City,CA,94015,BayArea
POP_S_9208461,Student,No Answer,Arcata,CA,0,9175 Lake Rd,Santa Rosa,CA,95401,NorCal
