pop_id,role,current_street,current_city,current_state,current_zip,permanent_street,permanent_city,permanent_state,permanent_zip,permanent_region,lat,lng,geocode_source
POP_S_7731914,Student,3103 5th Street,Eureka,California,95501,9333 Birch Ave,Berkeley,CA,94704,BayArea,40.8051134,-124.1328653,current
POP_S_2100767,Student,7420 South H Street,Bakersfield,California,93307,287 Birch St,Chula Vista,CA,91910,SanDiego,35.2873522,-119.0212263,current
POP_S_8253683,Student,Winchester Avenue,McKinleyville,California,95519,6293 Cedar St,Portland,OR,97205,OutOfState,40.9615763,-124.1063602,current
POP_S_4242253,Student,11th Street,Arcata,California,95521,428 Maple St,Portland,OR,97205,OutOfState,40.8717646,-124.0914222,current
POP_S_3672167,Student,11th Street,Arcata,California,95521,7422 Lake Dr,Pasadena,CA,91101,LA,40.8717646,-124.0914222,current
POP_S_4855672,Student,5286 Alliance Road,Arcata,California,95521,5095 Spruce Pl,Santa Rosa,CA,95401,NorCal,40.8931923,-124.0863955,current
POP_S_5586389,Student,9999 Nonexistent Ln,No Answer,No Answer,99999,3228 Hillway Drive,Glendale,California,91208,LA,34.2146648,-118.25052,permanent
POP_S_4579924,Student,9999 Nonexistent Ln,No Answer,No Answer,99999,Ridge Terrace,Fremont,California,94536,BayArea,37.5677254,-121.946474,permanent
POP_S_7513723,Student,14th Street,Arcata,California,95521,3499 Sunset Ln,Glendale,CA,91203,LA,40.8725007,-124.0829607,current
POP_S_2610289,Student,1291 Myrtle Avenue,Eureka,California,95501,2862 Spruce St,Chula Vista,CA,91910,SanDiego,40.7984594,-124.1454153,current
POP_S_6436394,Student,Parker Creek Drive,Trinidad,California,95570,2965 Canyon St,Daly City,CA,94015,BayArea,41.0596298,-124.1397653,current
POP_S_9208461,Student,No Answer,Arcata,CA,0,9175 Roberts Lake Road,Rohnert Park,California,94928,NorCal,38.366053,-122.7117158,permanent
